"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000076","Weights +/-25%",8315,3,8035,8312.5,8608.05,573.049999999999,1,0,0
"E01000077","Weights +/-25%",6646,2,6438,6648,6854.15,416.150000000001,0.796,0,0.796
"E01000078","Weights +/-25%",7165,3,6927.9,7170.5,7407.05,479.150000000001,0.999,0,0.001
"E01000079","Weights +/-25%",9422,3,9068.9,9425,9781.1,712.199999999999,1,0,0
"E01000080","Weights +/-25%",9673,3,9430,9680,9909.05,479.049999999999,1,0,0
"E01000081","Weights +/-25%",11202,4,10862.9,11203.5,11551.05,688.15,1,0,0
"E01000082","Weights +/-25%",8446,3,8134.85,8445.5,8763.05,628.2,1,0,0
"E01000083","Weights +/-25%",6814,3,6540,6824,7114,574,0.667,0,0.333
"E01000084","Weights +/-25%",6644,2,6410.9,6645.5,6867.05,456.150000000001,0.777,0,0.777
"E01000085","Weights +/-25%",5699,2,5489.95,5710.5,5933.05,443.099999999999,1,0,1
"E01000086","Weights +/-25%",6870,3,6573.9,6890,7199.15,625.25,0.753,0,0.247
"E01000087","Weights +/-25%",7092,3,6680.9,7113.5,7522,841.1,0.917,0,0.083
"E01000088","Weights +/-25%",9752,3,9462.85,9766,10032.05,569.199999999999,0.989,0,0
"E01000089","Weights +/-25%",8110,3,7621.95,8113,8652,1030.05,1,0,0
"E01000090","Weights +/-25%",8847,3,8279.95,8862,9502,1222.05,1,0,0
"E01000091","Weights +/-25%",4644,2,4301.95,4658.5,5020.2,718.25,1,0,1
"E01000093","Weights +/-25%",3999,2,3735.95,3998.5,4270.05,534.1,1,0,1
"E01000094","Weights +/-25%",12032,4,11321.7,12003.5,12702.15,1380.45,1,0,0
"E01000095","Weights +/-25%",6862,3,6250.9,6884.5,7561.1,1310.2,0.627,0,0.373
"E01000096","Weights +/-25%",6611,2,6186.6,6613,7060.05,873.45,0.673,0,0.673
"E01000097","Weights +/-25%",7385,3,7046.85,7398.5,7718,671.15,1,0,0
"E01000098","Weights +/-25%",5725,2,5369.95,5736,6103.55,733.6,1,0,1
"E01000099","Weights +/-25%",11925,4,11382.95,11920,12459.05,1076.1,1,0,0
"E01000100","Weights +/-25%",9927,3,9671.95,9940.5,10185,513.050000000001,0.89,0,0
"E01000101","Weights +/-25%",6585,2,6385.95,6589,6779.05,393.1,0.901,0,0.901
"E01000102","Weights +/-25%",6771,3,6409.95,6782,7171,761.05,0.548,0,0.452
"E01000103","Weights +/-25%",10456,4,10034,10451,10904.15,870.15,0.894,0,0
"E01000104","Weights +/-25%",6517,2,6182.85,6533.5,6875,692.15,0.862,0,0.862
"E01000105","Weights +/-25%",4451,2,4256.95,4448.5,4646.05,389.1,1,0,1
"E01000106","Weights +/-25%",3580,2,3271,3578,3903,632,0.853,0.147,1
"E01000107","Weights +/-25%",12519,4,12052.9,12524,12967.05,914.149999999998,1,0,0
"E01000108","Weights +/-25%",9311,3,8904.95,9334.5,9751.05,846.099999999999,1,0,0
"E01000110","Weights +/-25%",16154,5,15732,16171,16580.2,848.199999999997,0.999,0,0
"E01000111","Weights +/-25%",9532,3,9254,9533,9804.1,550.1,1,0,0
"E01000112","Weights +/-25%",10982,4,10576.95,11000,11399.1,822.149999999998,1,0,0
"E01000113","Weights +/-25%",8791,3,8174.8,8811.5,9376.75,1201.95,1,0,0
"E01000114","Weights +/-25%",9786,3,9354.65,9812,10286,931.349999999999,0.868,0,0
"E01000115","Weights +/-25%",30546,10,30229.9,30537,30839,609.099999999999,0.793,0,0
"E01000116","Weights +/-25%",25568,8,25127.9,25590.5,26063.1,935.199999999997,1,0,0
"E01000117","Weights +/-25%",25250,8,24835.9,25256,25701,865.100000000002,1,0,0
"E01000118","Weights +/-25%",23486,7,22976.9,23482,24001.1,1024.2,0.67,0,0
"E01000119","Weights +/-25%",27394,9,27077.7,27399,27722.05,644.349999999999,0.976,0,0
"E01000120","Weights +/-25%",29768,9,29388.8,29771,30181.1,792.299999999999,0.996,0,0
"E01000121","Weights +/-25%",8255,3,7881,8271,8704.25,823.25,1,0,0
"E01000122","Weights +/-25%",26263,8,25786.9,26270,26774.05,987.149999999998,0.99,0,0
"E01000123","Weights +/-25%",18894,6,18374.8,18894,19448.2,1073.4,1,0,0
"E01000124","Weights +/-25%",11873,4,11328.9,11890,12426.05,1097.15,1,0,0
"E01000126","Weights +/-25%",6096,2,5568,6110,6644.05,1076.05,0.978,0,0.978
"E01000127","Weights +/-25%",8055,3,7565.9,8071.5,8598.05,1032.15,1,0,0
"E01000128","Weights +/-25%",8961,3,8332.85,8993.5,9642.2,1309.35,0.999,0,0
"E01000129","Weights +/-25%",3668,2,3304.9,3678,4068.1,763.2,0.909,0.091,1
"E01000130","Weights +/-25%",9376,3,8855.95,9385,9916.05,1060.1,0.997,0,0
"E01000131","Weights +/-25%",12031,4,11212.5,12034,12804.4,1591.9,1,0,0
"E01000132","Weights +/-25%",7980,3,7504,7992,8470.2,966.200000000001,1,0,0
"E01000133","Weights +/-25%",7811,3,7378.85,7833,8292,913.15,1,0,0
"E01000134","Weights +/-25%",10065,3,9475.65,10098,10682.1,1206.45,0.532,0,0
"E01000135","Weights +/-25%",23144,7,22697.75,23171.5,23644.15,946.400000000001,0.944,0,0
"E01000136","Weights +/-25%",25507,8,24457.85,25547.5,26627.15,2169.3,0.993,0,0
"E01000137","Weights +/-25%",7934,3,7422.95,7956.5,8508,1085.05,1,0,0
"E01000138","Weights +/-25%",8092,3,7691.9,8109.5,8526.2,834.300000000001,1,0,0
"E01000139","Weights +/-25%",17259,6,16412,17300.5,18151.1,1739.1,0.766,0,0
"E01000140","Weights +/-25%",17297,6,16754.9,17322.5,17860.5,1105.6,0.896,0,0
"E01000141","Weights +/-25%",4170,2,3655.45,4182,4676.2,1020.75,0.995,0.005,1
"E01000142","Weights +/-25%",9739,3,9118.95,9774,10397.15,1278.2,0.814,0,0
"E01000143","Weights +/-25%",7234,3,6791.95,7238.5,7658.25,866.299999999998,0.971,0,0.029
"E01000144","Weights +/-25%",11364,4,10768.95,11399.5,11991.75,1222.8,1,0,0
"E01000145","Weights +/-25%",12393,4,11699.9,12433,13177.2,1477.3,0.998,0,0
"E01000146","Weights +/-25%",10219,4,9422.9,10226.5,11047.45,1624.55,0.586,0,0
"E01000147","Weights +/-25%",14403,5,13345.85,14423,15344.25,1998.4,0.914,0,0
"E01000150","Weights +/-25%",11057,4,10131.75,11085.5,12011.3,1879.55,0.951,0,0
"E01000151","Weights +/-25%",2331,1,2082,2336,2567,485,1,1,1
"E01000152","Weights +/-25%",14739,5,13834,14756.5,15589.75,1755.75,0.992,0,0
"E01000153","Weights +/-25%",6211,2,5706.9,6227.5,6739.1,1032.2,0.955,0,0.955
"E01000154","Weights +/-25%",8072,3,7573,8089,8621.1,1048.1,1,0,0
"E01000156","Weights +/-25%",22937,7,22493.65,22966.5,23442.1,948.450000000001,0.997,0,0
"E01000157","Weights +/-25%",16817,5,16129.3,16834,17498.25,1368.95,0.543,0,0
"E01000158","Weights +/-25%",16312,5,15816.95,16334.5,16840,1023.05,0.958,0,0
"E01000159","Weights +/-25%",19763,6,19280.95,19753.5,20227.05,946.099999999999,0.958,0,0
"E01000160","Weights +/-25%",17253,6,16593.95,17261,17927.05,1333.1,0.839,0,0
"E01000161","Weights +/-25%",12075,4,11720.95,12064.5,12395.05,674.099999999999,1,0,0
