"simulation","constant","Income","Employment","Education","Health","Crime","Barriers","Living environment","mean_absolute_rank_change"
1,23,0.192521229309595,0.195203538469677,0.166108959249736,0.115403324930047,0.108086288841009,0.105228886583698,0.117447772616237,409.035105910235
2,23,0.222860472440999,0.229485230740151,0.135063122217693,0.124433706093354,0.0960640283635424,0.0842659980672043,0.107827442077057,171.404947415198
3,23,0.265529723768464,0.205938747209569,0.149547561815114,0.0990086593958527,0.0839670749964563,0.104805712706669,0.0912025201078756,308.100429565988
4,23,0.222494490199542,0.231501863427155,0.118301155339942,0.133550993692021,0.0847482813290453,0.11204859625056,0.0973546197617345,257.788949785236
5,23,0.191512490897099,0.268619329377635,0.13384755953819,0.155699067915443,0.0838514150367278,0.084726236958796,0.081743900276109,285.983706117614
6,23,0.219455770447357,0.257498400828041,0.154812731241852,0.124608043425235,0.0766320464767973,0.0756351651786984,0.0913578424020192,254.683276551609
7,23,0.211113414131023,0.219307459558002,0.127075469724595,0.156640942081959,0.11241174187374,0.0978128439459639,0.0756381286847171,208.214842245594
8,23,0.19480656449478,0.224250545755444,0.179874805567671,0.1306056061787,0.0787236664219057,0.0968951249694439,0.0948436866120559,230.91382017478
9,23,0.230452741305268,0.233567209752219,0.136940634234624,0.125209853990361,0.0745518678994021,0.113541102073387,0.0857365907447393,300.054036439045
10,23,0.25810844690476,0.200435453048076,0.1579223124513,0.124682979832709,0.0959586351496027,0.0785283097504474,0.0843638628631051,245.677914383076
11,23,0.224567805945585,0.18183477279579,0.151152038947826,0.14912520116062,0.112151615804805,0.0963677519496683,0.0848008133957053,167.957813657234
12,23,0.250150562138134,0.225340693281069,0.154808964392936,0.118272528492411,0.100356706204363,0.0805816525968947,0.0704888928941913,348.16501259072
13,23,0.228662799269752,0.229768247003715,0.15117857491202,0.160361647921301,0.0765978156857333,0.078355715559204,0.0750751996482744,373.876225744334
14,23,0.284033029614957,0.199476885378301,0.119337294407852,0.132951051231837,0.0964418372249894,0.091004292958315,0.0767556091837485,229.566227225603
15,23,0.179979234012884,0.273687703216389,0.11764285643808,0.120840545465998,0.0972584453326924,0.118234137603288,0.0923570779306679,312.638127684767
16,23,0.259962892170161,0.235770973174037,0.113028865936302,0.108734748724039,0.0720853102590079,0.098649048941091,0.111768160795362,332.429625240705
17,23,0.198450949695115,0.228224102523816,0.141463773100276,0.132846932222758,0.112932256033061,0.0901945764005901,0.0958874100243835,134.229121611615
18,23,0.204329792197578,0.280051299584226,0.110285056624668,0.122910286729773,0.0908615636048178,0.0822966349477556,0.109265366311181,256.208087690722
19,23,0.227729640051842,0.250961506997062,0.110973135459098,0.157062046998034,0.0975827531544162,0.0689188934812611,0.0867720238582877,384.283572804024
20,23,0.221309000171869,0.189014379776012,0.113305576630325,0.140730780272276,0.121155043038899,0.114704994888607,0.099780225222012,362.29613390607
21,23,0.22962510518756,0.252481757549005,0.114203729976062,0.150584504609209,0.0804130822466288,0.0740611849052801,0.0986306355262545,284.242630721382
22,23,0.263486355156813,0.209818837400838,0.122852952503755,0.1548126336932,0.0847388621088518,0.0702088501660367,0.0940815089705053,299.390016293885
