"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01019320","Weights +/-25%; exponential constant 15-35",17069,6,14805.8,17570.5,20463.15,5657.35,0.574,0,0
"E01019293","Weights +/-25%; exponential constant 15-35",12807,4,10356.8,13268,15980.7,5623.9,0.503,0,0
"E01019356","Weights +/-25%; exponential constant 15-35",15358,5,13041.9,15841.5,18579.2,5537.3,0.616,0,0
"E01025910","Weights +/-25%; exponential constant 15-35",17327,6,14764.5,17736.5,20299.05,5534.55,0.625,0,0
"E01019967","Weights +/-25%; exponential constant 15-35",15783,5,13491,16282.5,19016.65,5525.65,0.572,0,0
"E01014056","Weights +/-25%; exponential constant 15-35",14551,5,12048.7,15004,17543.5,5494.8,0.64,0,0
"E01019077","Weights +/-25%; exponential constant 15-35",21832,7,19326.8,22316,24807.6,5480.8,0.658,0,0
"E01028870","Weights +/-25%; exponential constant 15-35",13733,5,11132.45,14178.5,16612.2,5479.75,0.599,0,0
"E01020188","Weights +/-25%; exponential constant 15-35",13835,5,11302.9,14301,16782.6,5479.7,0.616,0,0
"E01030879","Weights +/-25%; exponential constant 15-35",18502,6,16218.65,19017,21696.35,5477.7,0.629,0,0
"E01021099","Weights +/-25%; exponential constant 15-35",15972,5,13434.65,16373,18902.45,5467.8,0.552,0,0
"E01028862","Weights +/-25%; exponential constant 15-35",19265,6,16597.75,19672,22035.8,5438.05,0.559,0,0
