"","Income","Employment","Education","Health","Crime","Barriers","Living environment"
"Income",1,0.942235452114954,0.848127013129294,0.81363856245905,0.798407082507211,0.160580575697617,0.194985107957732
"Employment",0.942235452114954,1,0.857219849116103,0.883821268751088,0.784705109992886,0.0823777185583807,0.164103528449177
"Education",0.848127013129294,0.857219849116103,1,0.780761109558918,0.693368504645426,0.147451776780289,0.0536326475216132
"Health",0.81363856245905,0.883821268751088,0.780761109558918,1,0.759323809064066,-0.0466721036492094,0.144228628022791
"Crime",0.798407082507211,0.784705109992886,0.693368504645426,0.759323809064066,1,-0.0243212357563241,0.27293897541173
"Barriers",0.160580575697617,0.0823777185583807,0.147451776780289,-0.0466721036492094,-0.0243212357563241,1,0.104146917455895
"Living environment",0.194985107957732,0.164103528449177,0.0536326475216132,0.144228628022791,0.27293897541173,0.104146917455895,1
