"simulation","constant","Income","Employment","Education","Health","Crime","Barriers","Living environment","mean_absolute_rank_change"
1,25.2892442885786,0.203148201688714,0.241680147205484,0.167415698888032,0.108060667304354,0.105839920927234,0.0956541108077888,0.0782012531783938,271.004414160871
2,20.3631378943101,0.266799819166432,0.240493889087008,0.13049876580128,0.125367112102406,0.0775335997041436,0.0846097694626393,0.074697044676091,277.613272107839
3,17.230074047111,0.207027296185412,0.201561181328428,0.131508747698685,0.139847362875916,0.105616776224822,0.110293210587314,0.104145425099423,364.135505850991
4,24.9477571994066,0.255176857339647,0.198391087181521,0.133435444478149,0.14298314095163,0.0735929859370167,0.100342800979207,0.0960776831328301,156.674211227967
5,28.8624009629712,0.243712077973042,0.236812855764108,0.107213217072548,0.151026930553151,0.0936107056650839,0.0645298734381552,0.103094339533911,436.950851725683
6,21.135000907816,0.241087094646278,0.204643264785769,0.161690287033942,0.141741156218714,0.087746197478061,0.0727731446608739,0.0903188551763606,253.854362316702
7,15.5565132852644,0.214811897261378,0.204079012896626,0.155464738047578,0.136479534513793,0.0946677236462857,0.109659368726675,0.0848377249076638,291.482328543927
8,25.945403650403,0.235302675336048,0.214384507823702,0.130343686007863,0.144083260266245,0.113336670044904,0.0799608633958316,0.0825883371254066,276.882654421546
9,31.8357969541103,0.203502218146377,0.231458881546398,0.131638151515451,0.145172998840591,0.0864312195445753,0.0976844389003255,0.104112091506282,145.352214486741
10,15.7114443555474,0.239961385831297,0.241831426417484,0.13048756085968,0.150924132857121,0.0686882542200366,0.0981483003457713,0.0699589394686104,306.77908458007
11,16.2038217810914,0.233310207679026,0.239547712170207,0.114204700119651,0.144626017949007,0.0783649092292407,0.0949823344242029,0.0949641184286664,173.953369871129
12,26.0066717443988,0.212404755853368,0.237857185245264,0.12291141123157,0.117934094264203,0.0830674295462986,0.11355239636721,0.112272727492085,354.894030514025
13,25.5019516684115,0.25010898951221,0.182355952764033,0.125287551389777,0.149731068447694,0.108877674152371,0.107269117146194,0.0763696465877218,226.8299807436
14,31.8420851463452,0.235381425247934,0.223754240182401,0.119693005643457,0.136111799881704,0.0790263742085201,0.0949566609406781,0.111076493895305,201.533580210337
15,15.7497852528468,0.260873966277686,0.258071104346876,0.133975361083201,0.10372999412277,0.0809769311293398,0.0842285159831176,0.0781441270570104,254.232380388102
16,25.1739545958117,0.226969065947353,0.212447858060497,0.135380415882395,0.142265339116737,0.0922982258081531,0.118276976823165,0.0723621183617001,315.766967856612
17,29.3883495451882,0.239986519002939,0.203918342645557,0.129322635539067,0.136026657109776,0.0832937831670781,0.100983198196252,0.106468864339331,169.789305288104
18,30.1221976196393,0.277109415182914,0.209171113442908,0.129994994143611,0.112319413808438,0.0823409052361837,0.0973203769455424,0.0917437812404026,246.338557250773
19,19.5381815824658,0.230854850519326,0.220982147465598,0.115161707397238,0.165645526569084,0.0869364315749286,0.106375429676767,0.0740439067970572,248.557132276694
20,25.5066003417596,0.244662365169965,0.17575898302382,0.139141611007109,0.147379129034572,0.106536606058123,0.0835869515718257,0.102934354134586,209.004532661829
