"analysis","simulations","median_rank_p90_interval_width","p90_rank_p90_interval_width","p95_rank_p90_interval_width","median_same_decile_probability","mean_same_decile_probability","proportion_same_decile_probability_at_least_80pct","top10_retention_probability","top20_retention_probability"
"Weights +/-25%",1000,969,1769.51,2229.73,1,0.924070745074803,0.835757665531032,0.981956148148148,0.985685528069915
"Weights +/-25%; exponential constant 15-35",1000,1005.3,1821.45,2366.995,0.999,0.918504784476374,0.822692934380092,0.979232296296296,0.984709376388683
