Core20,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
20% most deprived,418585,305305,796340,460260,1213190,342130,233960,907410,830000
Less-deprived areas,647385,936915,1662040,275695,760375,1290485,820935,733445,589345
