scenario,model_id,term,estimate,std_error_hc3,statistic,p_value,conf_low,conf_high,n_obs,r_squared,adj_r_squared
bbox_on_full,M0,(Intercept),-0.04494084946051444,0.0016578343815833766,-27.108165905928434,9.524284724321094e-154,-0.048190724537146866,-0.04169097438388201,6791,0.03892126242383993,0.038779698314607924
bbox_on_full,M0,any_groupTRUE,0.05422973503835211,0.003184601394587652,17.02873556813658,1.0425971218072389e-63,0.0479869180137742,0.060472552062930014,6791,0.03892126242383993,0.038779698314607924
bbox_on_full,M1,(Intercept),-0.04362066036042641,0.0016346870298786418,-26.684410876903318,2.8719114216024643e-149,-0.046825159371614106,-0.04041616134923871,6791,0.0359906175537643,0.03584862176904691
bbox_on_full,M1,log_groups,0.058008685753714644,0.003655368539389713,15.86944931232558,1.0261755574696289e-55,0.05084301755185061,0.06517435395557868,6791,0.0359906175537643,0.03584862176904691
bbox_on_full,M2,(Intercept),-0.04053051157367193,0.002802036140512187,-14.464664101821084,1.0005202940962526e-46,-0.046023382220664835,-0.03503764092667902,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,any_groupTRUE,0.01616771206606241,0.0018421634101353258,8.776480944692482,2.1075935032133717e-18,0.012556493361136256,0.01977893077098856,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,z_Score,-0.09614371469913884,9.92312121379582e-4,-96.8885823600271,0,-0.09808895803321833,-0.09419847136505934,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,urban_ruralUrban,-0.034788895670962224,0.002013993453881431,-17.2735892482252,1.8455588062024859e-65,-0.0387369552145622,-0.030840836127362246,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)East of England,0.006917213765585091,0.0032160303924801976,2.150854600677622,0.031522917792258534,6.127843946411018e-4,0.013221643136529081,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)London,0.0502740466875464,0.003408238057000552,14.750743887822932,1.708223171927381e-48,0.04359282994284001,0.05695526343225279,6791,0.7234697661372671,0.7230210520832046
bbox_on_full,M2,factor(region_fe)North East,0.025165073883042264,0.0038803198548830855,6.485309155989794,9.478376382059948e-11,0.017558428585478375,0.03277171918060615,6791,0.7234697661372671,0.7230210520832046
