"sex","outcome","race_ethnicity","n","effective_n","mean_error","calibration_intercept","calibration_slope"
"Female","best_single_grip","Mexican American",600,506.956895763436,-0.321554919900114,1.8182111564118,0.927249030463226
"Female","best_single_grip","Non-Hispanic Asian",635,574.59580106136,-0.219362946160096,8.44688979442813,0.681921437712239
"Female","best_single_grip","Non-Hispanic Black",1264,1113.06170984249,1.74089060804744,1.58732090621648,1.00501351697929
"Female","best_single_grip","Non-Hispanic White",2111,1597.15472257986,-0.0501166803113905,2.63432694951784,0.908455427513245
"Female","best_single_grip","Other / multiracial",151,91.8460296313036,0.384809916433503,-5.61904875357553,1.20052314048263
"Female","best_single_grip","Other Hispanic",525,435.436359830665,-0.343497990280572,1.98620971598093,0.918945950562303
"Female","bilateral_grip","Mexican American",588,496.275158552348,-0.456844342804491,2.85364365485347,0.941072596072076
"Female","bilateral_grip","Non-Hispanic Asian",620,560.480504052125,-0.353492415652291,15.9078357158641,0.688592730664242
"Female","bilateral_grip","Non-Hispanic Black",1238,1091.07737312651,3.20803851053428,2.67021970087032,1.00918772376944
"Female","bilateral_grip","Non-Hispanic White",2068,1568.27821613776,-0.0604232054099501,5.29032225958332,0.904516274729982
"Female","bilateral_grip","Other / multiracial",146,88.7377649190098,0.995714055333188,-8.23607871913324,1.16084647196055
"Female","bilateral_grip","Other Hispanic",512,425.042303580485,-0.620592924052595,3.06921278746559,0.93287600837265
"Male","best_single_grip","Mexican American",622,500.951037427924,-0.0436844211203113,3.9354287015937,0.913983983181168
"Male","best_single_grip","Non-Hispanic Asian",635,577.102860746532,-1.08324938895661,11.3461146077055,0.714236557928553
"Male","best_single_grip","Non-Hispanic Black",1215,1037.72217219452,1.59227027578354,3.3362820742113,0.963313817133401
"Male","best_single_grip","Non-Hispanic White",2079,1486.85183939827,-0.187257451167728,3.94760676001377,0.912271132137362
"Male","best_single_grip","Other / multiracial",176,98.0138766317867,-0.240979548844767,-1.71581214741611,1.03068749675631
"Male","best_single_grip","Other Hispanic",450,354.160307537495,-0.444480771762402,5.74898306408026,0.865477534530211
"Male","bilateral_grip","Mexican American",605,489.188286020314,0.0329842108552187,7.38375684851023,0.917304327906277
"Male","bilateral_grip","Non-Hispanic Asian",630,572.43139052664,-2.45914195273753,21.1042495691566,0.718359716949388
"Male","bilateral_grip","Non-Hispanic Black",1188,1016.36431507311,2.61479007677715,5.04001006021378,0.973463980314886
"Male","bilateral_grip","Non-Hispanic White",2036,1462.12934885074,-0.222408507451594,7.78078006897589,0.911561554558222
"Male","bilateral_grip","Other / multiracial",174,97.0498578601412,-0.75120357752689,-6.50824204533925,1.06237428180203
"Male","bilateral_grip","Other Hispanic",442,347.941170667878,-0.972408489259503,10.9584395797747,0.864840997969446
