"variable","missing_fraction"
"best_single_grip",0.0842360689834474
"bilateral_grip",0.103475171158679
"age",0
"sex",0
"height_cm",0.0125660802495884
"bmi",0.0144726579426293
"arm_length_cm",0.0496576826414767
"arm_circumference_cm",0.0493976947742439
"activity_met_min_week",0.00311985440679435
"handedness",0.0819828408007626
"any_hand_pain",0.0955022098968715
"prior_surgery",0.0798162752404888
"posture",0.133893751624924
