"sex","outcome","model_type","holdout_cycle","n","rmse","mae","r_squared","calibration_intercept","calibration_slope"
"Female","best_single_grip","core","2011–2012",2467,4.49686436967828,3.52581461640011,0.459236007598506,-1.57844118816153,1.04235933978797
"Female","best_single_grip","core","2013–2014",2819,4.6497271404421,3.58582196627552,0.407502658116912,2.28202313782192,0.933545815555335
"Female","bilateral_grip","core","2011–2012",2418,8.59880251066398,6.74072237757211,0.456414726027228,-2.7827854091482,1.03668838806532
"Female","bilateral_grip","core","2013–2014",2754,8.91993331445818,6.88691982532316,0.402198976362874,4.272691987388,0.936957322905273
"Male","best_single_grip","core","2011–2012",2521,7.17537104440199,5.58905073754535,0.414829333846157,-1.75555604636846,1.03080070199017
"Male","best_single_grip","core","2013–2014",2656,7.23524026082816,5.66314035836117,0.384767515822726,3.3162194216324,0.935940209131378
"Male","bilateral_grip","core","2011–2012",2469,14.10178559226,10.9663039671836,0.405758815310866,-3.64004377197274,1.03132956101884
"Male","bilateral_grip","core","2013–2014",2606,14.0692127285684,11.0044828817999,0.380322821287901,6.26788616920646,0.938745227751398
